DepartmentName,Age,LengthService,AbsentHours
Bakery,32.03,6.02,36.58
Bakery,40.32,5.53,30.17
Bakery,48.82,4.39,83.81
Bakery,44.60,3.08,70.02
Bakery,35.70,3.62,0.00
Bakery,48.44,2.72,81.83
Accounting,50.75,10.16,60.50
Bakery,36.22,4.43,30.07
Bakery,58.43,6.94,181.63
Accounting,39.85,13.85,30.66
Bakery,46.55,4.87,28.02
Bakery,15.00,3.79,0.00
Bakery,37.73,3.62,0.00
Bakery,30.79,4.58,34.33
Accounting,49.92,4.88,0.00
Accounting,42.80,19.11,21.66
Accounting,48.62,9.94,0.00
Bakery,41.86,2.56,55.10
Bakery,51.01,5.30,81.60
Accounting,36.91,11.23,94.67
Bakery,57.90,3.30,108.38
Bakery,24.47,3.15,0.00
Accounting,49.52,6.53,67.74
Bakery,60.60,4.47,158.70
Bakery,35.80,4.63,0.00
Bakery,35.87,3.10,48.02
Bakery,41.94,4.56,42.79
Bakery,35.50,5.17,34.52
Accounting,40.03,12.19,59.88
Bakery,49.76,4.31,100.67
Bakery,38.11,3.49,9.52
Accounting,42.87,19.01,38.88
Bakery,49.94,5.78,129.84
Bakery,77.00,3.20,44.27
Bakery,23.75,2.99,0.00
Accounting,36.20,18.20,0.00
Bakery,51.56,4.64,75.26
Bakery,40.41,6.19,58.97
Bakery,52.45,4.29,134.67
Bakery,20.03,4.48,0.00
Bakery,44.61,4.86,78.34
Bakery,67.09,2.18,169.00
Bakery,41.25,2.02,56.22
Bakery,62.05,5.47,152.65
Bakery,28.08,5.78,0.00
Bakery,49.91,5.36,80.24
Accounting,50.08,1.00,78.75
Bakery,33.81,5.65,0.00
Bakery,51.61,3.99,88.91
Accounting,38.68,20.68,21.39
Bakery,30.30,7.56,3.74
Bakery,43.69,0.39,38.07
Bakery,50.05,5.70,116.23
Bakery,34.69,4.72,0.00
Bakery,29.33,3.28,0.00
Bakery,50.01,3.65,77.13
Bakery,24.51,4.80,0.00
Bakery,42.63,4.12,24.79
Bakery,54.05,4.06,121.45
Bakery,43.91,4.20,59.78
Bakery,42.59,5.10,55.62
Accounts Payable,55.76,10.62,0.00
Bakery,31.17,0.78,0.00
Bakery,43.26,5.84,55.06
Bakery,35.62,3.68,44.63
Bakery,39.26,5.75,42.46
Bakery,22.54,5.90,0.00
Accounts Payable,39.74,11.89,0.00
Bakery,46.95,2.02,107.80
Accounts Payable,44.11,12.31,78.84
Bakery,52.79,4.59,110.15
Bakery,35.63,3.95,33.93
Bakery,42.43,3.39,28.60
Bakery,40.97,3.29,44.99
Bakery,46.77,1.99,126.50
Bakery,45.30,5.57,19.62
Bakery,38.30,6.10,0.00
Accounts Payable,35.49,8.35,44.97
Bakery,41.66,4.71,45.95
Bakery,43.51,1.78,83.32
Bakery,54.00,2.87,136.34
Bakery,46.22,4.42,53.31
Bakery,47.66,4.25,96.61
Bakery,51.99,2.96,140.91
Bakery,33.37,2.30,31.69
Bakery,47.60,4.15,12.68
Accounts Payable,34.66,13.83,54.30
Accounts Payable,37.24,18.64,0.00
Bakery,45.48,6.84,103.35
Bakery,26.91,3.98,0.00
Bakery,37.74,3.57,49.85
Accounts Payable,40.49,1.22,58.29
Bakery,48.63,5.53,110.81
Bakery,52.19,5.33,158.68
Bakery,37.91,4.68,73.48
Bakery,29.41,4.85,2.19
Bakery,51.17,4.95,99.81
Bakery,39.46,1.91,34.78
Bakery,26.68,4.85,0.00
Bakery,46.55,7.41,81.74
Bakery,39.24,5.29,51.76
Bakery,49.03,2.99,121.01
Accounts Payable,43.74,16.59,48.37
Bakery,55.83,2.02,137.46
Bakery,44.00,4.03,98.56
Bakery,29.67,2.92,0.00
Bakery,46.08,4.83,44.00
Bakery,27.87,4.52,0.00
Bakery,37.38,4.93,39.10
Bakery,50.44,5.51,138.93
Bakery,46.59,4.74,63.03
Bakery,50.28,5.32,98.32
Bakery,39.05,1.73,56.30
Bakery,37.49,5.27,25.47
Bakery,47.52,3.81,96.88
Bakery,50.24,3.45,118.49
Bakery,40.33,6.28,34.02
Bakery,36.92,6.28,72.79
Accounts Payable,33.18,3.62,0.00
Bakery,32.76,7.10,0.00
Bakery,58.58,6.55,153.26
Bakery,23.95,5.19,0.00
Bakery,43.20,7.92,53.85
Bakery,52.65,4.99,113.96
Bakery,45.82,3.39,79.11
Bakery,35.54,5.76,29.98
Bakery,37.85,1.98,68.40
Accounts Payable,43.29,21.12,30.99
Bakery,24.37,3.77,0.00
Bakery,45.93,6.68,40.06
Bakery,32.64,3.12,49.66
Bakery,39.39,3.73,94.28
Bakery,35.70,1.88,58.09
Bakery,49.72,4.21,62.16
Accounts Payable,54.67,17.15,30.46
Bakery,44.01,3.73,90.81
Accounts Receiveable,36.48,18.48,37.12
Accounts Receiveable,55.76,11.44,0.00
Bakery,43.16,5.17,63.19
Bakery,56.56,4.93,101.93
Bakery,43.12,2.48,45.49
Bakery,50.35,3.01,124.20
Bakery,49.48,4.69,56.92
Accounts Receiveable,39.74,16.85,0.00
Accounts Receiveable,44.11,11.95,111.78
Accounts Receiveable,35.49,13.71,0.00
Bakery,61.44,3.44,96.26
Bakery,47.88,3.44,58.15
Accounts Receiveable,34.66,5.69,40.15
Bakery,37.86,7.02,92.25
Bakery,57.90,5.59,116.08
Accounts Receiveable,37.24,2.76,24.50
Bakery,37.97,2.52,17.07
Accounts Receiveable,40.49,6.41,90.17
Bakery,49.07,6.15,46.53
Bakery,55.93,4.51,156.69
Bakery,27.38,5.88,14.39
Bakery,51.86,2.86,113.26
Bakery,61.40,2.77,159.97
Bakery,66.07,4.24,223.78
Accounts Receiveable,43.74,23.75,0.00
Bakery,40.45,3.84,79.12
Bakery,57.35,6.03,154.26
Bakery,31.39,4.08,0.00
