DepartmentName,Age,LengthService,AbsentHours
Bakery,32.02881569,6.018478474,36.57730606
Bakery,40.32090167,5.532444578,30.16507231
Bakery,48.82204661,4.389973118,83.80779766
Bakery,44.59935722,3.081735738,70.02016505
Bakery,35.69787561,3.619091448,0
Bakery,48.44031059,2.717692452,81.83007916
Accounting,50.75273,10.157918,60.49507152
Bakery,36.2160312,4.432122862,30.07290192
Bakery,58.42738025,6.940120524,181.630819
Accounting,39.85398,13.848321,30.66440832
Bakery,46.54758052,4.872038321,28.01835332
Bakery,15,3.793042148,0
Bakery,37.72801116,3.621141838,0
Bakery,30.78519091,4.583328091,34.33444296
Accounting,49.92338,4.883225,0
Accounting,42.79789,19.107198,21.65982312
Accounting,48.6213,9.940272,0
Bakery,41.85581217,2.559053659,55.09983109
Bakery,51.00873723,5.30277286,81.59554037
Accounting,36.91041,11.22628,94.66856131
Bakery,57.90324297,3.300303735,108.3801763
Bakery,24.47030259,3.147510228,0
Accounting,49.51672,6.5335,67.74078948
Bakery,60.5955091,4.465036581,158.7045089
Bakery,35.80466401,4.626920266,0
Bakery,35.87338778,3.101925634,48.0170507
Bakery,41.93560641,4.557230329,42.78802656
Bakery,35.49790596,5.174673648,34.52427221
Accounting,40.02887,12.185467,59.88316464
Bakery,49.75658466,4.313617694,100.6740987
Bakery,38.11173232,3.493533521,9.522523814
Accounting,42.8715,19.006436,38.88332344
Bakery,49.94274462,5.775266268,129.8357633
Bakery,77,3.203849714,44.2731088
Bakery,23.74733283,2.992041355,0
Accounting,36.196064,18.196064,0
Bakery,51.56495808,4.641869886,75.25704812
Bakery,40.41201341,6.192268184,58.97153025
Bakery,52.44651862,4.29126449,134.6683839
Bakery,20.02556154,4.483391669,0
Bakery,44.60660014,4.862142071,78.34173929
Bakery,67.08801208,2.183958352,168.9957664
Bakery,41.25328235,2.018782807,56.21994065
Bakery,62.05182058,5.473604647,152.6467667
Bakery,28.07544199,5.776657666,0
Bakery,49.90577748,5.357402979,80.24254043
Accounting,50.07982,1,78.7532824
Bakery,33.80945018,5.654808747,0
Bakery,51.60595642,3.9855896,88.91127783
Accounting,38.678832,20.678832,21.38553248
Bakery,30.29765034,7.560140987,3.737100223
Bakery,43.68608721,0.385746182,38.06658377
Bakery,50.04741662,5.702536846,116.2269635
Bakery,34.68894529,4.721105791,0
Bakery,29.32983419,3.28103742,0
Bakery,50.01054543,3.653801673,77.13030678
Bakery,24.50853,4.796216863,0
Bakery,42.62840469,4.124606978,24.79287091
Bakery,54.04930086,4.060790515,121.4480075
Bakery,43.91047001,4.197598793,59.7836809
Bakery,42.59140213,5.101161761,55.62426288
Accounts Payable,55.76305,10.623616,0
Bakery,31.16665889,0.775517909,0
Bakery,43.26243975,5.843569409,55.05895104
Bakery,35.61924833,3.679095448,44.6346054
Bakery,39.26200269,5.748053523,42.45739254
Bakery,22.5364126,5.897640636,0
Accounts Payable,39.73937,11.885504,0
Bakery,46.94959435,2.024655355,107.7955005
Accounts Payable,44.10973,12.305714,78.84098352
Bakery,52.78875734,4.589520028,110.1543068
Bakery,35.63044266,3.947661015,33.93440994
Bakery,42.4342557,3.387128544,28.60483097
Bakery,40.96753752,3.285283682,44.9874293
Bakery,46.77086356,1.991692074,126.5011301
Bakery,45.3008103,5.567973876,19.6191458
Bakery,38.29655279,6.095617444,0
Accounts Payable,35.4939,8.348239,44.97411152
Bakery,41.66134173,4.711743887,45.95478779
Bakery,43.5118766,1.778630937,83.3173005
Bakery,54.00481868,2.870591513,136.3424045
Bakery,46.22423463,4.416249838,53.3120259
Bakery,47.65733071,4.252453434,96.6132406
Bakery,51.99137493,2.964089468,140.9111414
Bakery,33.3683369,2.301876593,31.69229831
Bakery,47.6040848,4.149329545,12.68410865
Accounts Payable,34.6622,13.828331,54.30033232
Accounts Payable,37.24006,18.641316,0
Bakery,45.47882196,6.837239767,103.3493697
Bakery,26.91367155,3.983950436,0
Bakery,37.74242382,3.569517999,49.84641191
Accounts Payable,40.49192,1.223785,58.28770605
Bakery,48.62992513,5.534431308,110.8124796
Bakery,52.18642804,5.333357014,158.6843997
Bakery,37.91257982,4.677505826,73.47603875
Bakery,29.40947244,4.853084899,2.187241945
Bakery,51.17022316,4.954787053,99.80856689
Bakery,39.46457145,1.914256944,34.77626973
Bakery,26.67920383,4.850275414,0
Bakery,46.54737692,7.40795942,81.7411048
Bakery,39.23785234,5.28876626,51.75805976
Bakery,49.02908732,2.992767917,121.0074252
Accounts Payable,43.74006,16.587192,48.37309828
Bakery,55.82635616,2.020945438,137.4598877
Bakery,44.00105092,4.03442867,98.5576777
Bakery,29.6692902,2.920694436,0
Bakery,46.08440537,4.834791047,44.00185941
Bakery,27.86599272,4.51966396,0
Bakery,37.38317605,4.934654158,39.10172396
Bakery,50.43589901,5.505354659,138.9330403
Bakery,46.58616386,4.74303968,63.03007856
Bakery,50.28113997,5.319611026,98.3228922
Bakery,39.04622933,1.733551364,56.30433228
Bakery,37.49357924,5.272417507,25.46792975
Bakery,47.5184211,3.813679718,96.88371667
Bakery,50.24461391,3.450234407,118.490501
Bakery,40.32982676,6.277340487,34.02042059
Bakery,36.92447866,6.283404129,72.79408579
Accounts Payable,33.17869,3.616228,0
Bakery,32.75941298,7.100916929,0
Bakery,58.57572963,6.547789836,153.2632323
Bakery,23.94839693,5.192754104,0
Bakery,43.20353674,7.921398042,53.84737103
Bakery,52.64638663,4.990343166,113.9617749
Bakery,45.82458879,3.39067547,79.10668824
Bakery,35.53798668,5.764585657,29.98231177
Bakery,37.84977345,1.976125041,68.40403177
Accounts Payable,43.2858,21.122314,30.99399888
Bakery,24.36946429,3.769958819,0
Bakery,45.92597301,6.680159831,40.05948151
Bakery,32.63626674,3.122804778,49.65651125
Bakery,39.38889368,3.731981529,94.2773662
Bakery,35.69832217,1.881003024,58.09452779
Bakery,49.71959048,4.205191727,62.16083824
Accounts Payable,54.67226,17.149135,30.45802032
Bakery,44.00556211,3.729336444,90.81179196
Accounts Receiveable,36.480086,18.480086,37.1157124
Accounts Receiveable,55.76305,11.44132,0
Bakery,43.1563698,5.174066619,63.18923992
Bakery,56.55995386,4.927399666,101.9347516
Bakery,43.12316447,2.480452998,45.48992662
Bakery,50.35361623,3.006138301,124.2025327
Bakery,49.47613903,4.687620059,56.92397595
Accounts Receiveable,39.73937,16.8497,0
Accounts Receiveable,44.10973,11.954267,111.7755846
Accounts Receiveable,35.4939,13.707758,0
Bakery,61.44050167,3.439750719,96.260697
Bakery,47.87764919,3.44226196,58.15296878
Accounts Receiveable,34.6622,5.689747,40.14572515
Bakery,37.85526055,7.02162411,92.24730012
Bakery,57.89963249,5.586855486,116.0821581
Accounts Receiveable,37.24006,2.759389,24.50390384
Bakery,37.97420752,2.519988839,17.06972082
Accounts Receiveable,40.49192,6.408469,90.16966119
Bakery,49.07042916,6.154288207,46.52578004
Bakery,55.93339775,4.507594802,156.6886593
Bakery,27.38177556,5.882383018,14.38568387
Bakery,51.85696413,2.856147379,113.2580344
Bakery,61.3978081,2.771944271,159.968214
Bakery,66.06890246,4.235105015,223.778841
Accounts Receiveable,43.74006,23.746003,0
Bakery,40.45052007,3.839194051,79.12363725
Bakery,57.35063799,6.032330926,154.2577252
Bakery,31.38918207,4.08229079,0
Accounts Receiveable,35.80744,17.80744,0
Bakery,52.1325405,6.524270599,88.45913805
Bakery,30.55156977,4.994952013,0
Bakery,54.55066069,5.582832837,95.49894843
Bakery,49.85965201,3.415872649,120.0797189
Accounts Receiveable,43.2858,13.56324,0
Bakery,30.04004847,5.287380572,0
Bakery,42.51405735,0.696873054,82.89702302
Bakery,49.27493559,5.039542872,121.3682638
Bakery,38.15800998,3.999675679,34.20118293
Audit,45.5594,14.410268,69.47820963
Bakery,44.0545011,4.48261494,56.19587246
Bakery,43.53401993,4.978325753,61.49474478
Bakery,42.63644281,5.982794346,60.09046813
Bakery,44.24521906,0.840480646,66.31549844
Bakery,45.94124227,3.842333733,71.55570239
Bakery,37.99890445,6.982080942,33.94380532
Bakery,33.403431,3.959062909,46.92397933
Bakery,40.34235317,3.204713851,40.23300149
Bakery,37.80852455,4.947165495,29.16170217
Bakery,42.31715261,2.048207893,44.15691237
Audit,45.01263,12.688114,47.51121024
Bakery,34.28047515,4.044062622,0
Audit,49.14973,1,121.7851932
Bakery,35.36492589,5.028810793,31.13908709
Bakery,53.64586019,5.138841132,79.22102251
Audit,43.934345,25.934345,38.55781831
Bakery,19.19153395,4.47318993,0
Bakery,46.68367521,5.312088904,44.74428082
Bakery,44.60240143,4.41770495,93.42104381
Bakery,48.76869491,5.696230561,96.65594514
Bakery,50.76459344,1.265974742,71.73266923
Bakery,59.01548877,3.241373868,109.2478897
Bakery,35.98656738,4.453742125,12.57657646
Bakery,51.39517039,3.682661001,34.0739579
Bakery,57.43314763,5.885415633,154.8111128
Bakery,52.65101839,5.299719684,90.2876122
Bakery,52.1874037,3.960580937,113.0661266
Bakery,51.77301121,3.908676273,106.5730043
Bakery,35.11682533,5.865363012,12.10318321
Bakery,52.99893588,4.219663308,84.32384993
Bakery,43.73002137,5.168028157,66.34602697
Bakery,40.93856989,5.488107859,0
Bakery,18.95983224,3.820712697,0
Audit,57.87456,19.248894,72.92419805
Audit,53.312967,35.312967,0
Bakery,32.50307819,4.664330299,0
Bakery,36.38184177,4.953196152,33.52879809
Bakery,44.84727769,5.170380512,61.73170524
Bakery,12.6843222,3.032072975,0
Bakery,54.43216037,4.243228337,111.0545762
Bakery,60.37304921,2.251922005,174.6845171
Audit,37.098383,19.098383,46.77119065
Audit,44.93259,11.374388,41.62491736
Bakery,43.91164167,5.502563615,95.4168043
Bakery,45.45783561,4.594193677,22.49132554
Bakery,37.49657444,6.270841741,59.38794448
Audit,49.67844,12.688541,57.22786992
Bakery,42.78966516,2.483440021,45.13933554
Bakery,34.80801888,6.462199055,50.51860074
Bakery,44.71639495,4.551809045,62.15482382
Bakery,39.93536429,6.609689398,16.055531
Bakery,47.50043293,2.363185013,85.37866147
Audit,44.185803,26.185803,0
Bakery,41.60450461,4.004897104,39.67547177
Bakery,44.22969208,5.520121991,57.18578016
Bakery,37.2991166,6.880356905,38.10079038
Bakery,42.46407075,3.729081549,118.5860854
Audit,39.31457,14.613758,28.89700216
Bakery,43.35590303,5.955207373,73.39635973
Bakery,48.48461962,4.929204151,86.86241559
Bakery,45.28880825,6.267979432,106.7733033
Bakery,34.54452812,6.340696466,0
Bakery,51.7865376,5.205942693,107.8343573
Bakery,43.46696293,2.826842165,10.68473537
Bakery,37.71197934,2.218388271,31.99564508
Bakery,51.03145944,7.100793025,131.023489
Bakery,54.49284808,5.640629096,123.5629654
Bakery,28.9172471,2.244451155,21.03904881
Bakery,55.70889907,5.225591189,173.8371942
Bakery,43.19064154,8.109839161,20.93704925
Bakery,38.10720123,2.905915461,47.54204413
Bakery,37.74238941,5.388619589,30.81552612
Bakery,36.48949145,7.144228322,27.60126686
Bakery,54.75064529,5.919600934,152.1244924
Bakery,44.77484922,4.778751376,39.57679255
Bakery,56.11144912,6.904709931,174.8647281
Bakery,34.11491876,1.620817039,4.006486432
Bakery,35.97228115,3.579663341,65.57723116
Bakery,31.47856723,3.675621244,0
Bakery,35.7258357,4.155243385,44.50048614
Bakery,30.61040793,5.348732049,0
Bakery,44.57034084,4.188334866,91.35291618
Bakery,38.19626612,6.728007933,59.95757031
Bakery,38.31640412,5.005929687,28.53802654
Bakery,54.60035641,3.414992262,112.6071529
Bakery,52.62338815,5.32818421,84.6091321
Bakery,32.62756763,5.880796835,20.52608989
Bakery,29.37409177,4.395205208,0
Bakery,36.14779144,3.136688027,26.70137233
Bakery,46.19207185,3.959449201,28.78416405
Bakery,32.16838201,5.768871951,40.49575113
Bakery,39.94819217,3.641443235,49.90548322
Bakery,44.77063917,5.473203065,71.6224049
Bakery,40.23564643,7.969360463,22.72600698
Bakery,47.7864692,5.409125372,20.11226488
Bakery,21.96085504,2.81537022,0
Bakery,49.23854802,5.342303525,75.60492624
Bakery,38.48180344,3.983263282,3.026643536
Bakery,37.7312481,3.291196527,18.76798501
Bakery,57.08813022,5.422745919,122.660478
Bakery,34.28082043,5.721009922,28.39811691
Bakery,29.30370209,3.32828679,36.26095364
Bakery,53.97279984,4.725270372,73.9432002
Bakery,55.75102139,5.605690978,85.85659878
Bakery,49.4851649,4.274813211,74.28087994
Bakery,45.95132139,5.453772607,104.0283792
Bakery,36.41103286,2.754126134,0
Bakery,40.21737247,5.309408045,36.85759727
Bakery,43.05432623,4.870581501,38.29051282
Bakery,38.38906678,4.968577776,28.63001058
Bakery,45.08977998,6.959476071,75.08140597
Bakery,58.95193483,5.312972212,146.0033861
Bakery,29.6349007,7.847283569,46.67651007
Bakery,64.1862768,4.613496212,198.6057962
Bakery,37.25898016,3.624109308,0
Bakery,48.19952531,5.882760132,76.71632648
Bakery,11.77831479,4.873719892,0
Bakery,31.12161244,6.690682756,0
Bakery,48.20856562,7.087451834,101.1876391
Bakery,46.02262995,4.177042046,102.8105789
